beachId,beachName,siteName,collectionDate,year,eColi,longitude,latitude
10,Bluffer's Beach Park,51E,2007-06-16,2007,10,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-06-17,2007,40,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-06-17,2007,50,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-06-17,2007,10,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-06-17,2007,40,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-06-17,2007,20,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-06-18,2007,10,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-06-18,2007,10,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-06-18,2007,10,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-06-18,2007,10,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-06-18,2007,10,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-06-19,2007,20,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-06-19,2007,10,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-06-19,2007,260,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-06-19,2007,40,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-06-19,2007,80,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-06-20,2007,10,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-06-20,2007,10,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-06-20,2007,30,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-06-20,2007,40,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-06-20,2007,60,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-06-21,2007,10,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-06-21,2007,10,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-06-21,2007,30,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-06-21,2007,20,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-06-21,2007,10,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-06-22,2007,20,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-06-22,2007,10,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-06-22,2007,10,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-06-22,2007,10,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-06-22,2007,10,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-06-23,2007,10,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-06-23,2007,10,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-06-23,2007,10,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-06-23,2007,10,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-06-23,2007,10,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-06-24,2007,10,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-06-24,2007,10,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-06-24,2007,10,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-06-24,2007,10,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-06-24,2007,10,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-06-25,2007,10,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-06-25,2007,10,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-06-25,2007,10,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-06-25,2007,10,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-06-25,2007,10,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-06-26,2007,10,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-06-26,2007,10,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-06-26,2007,10,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-06-26,2007,10,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-06-26,2007,10,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-06-27,2007,10,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-06-27,2007,10,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-06-27,2007,10,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-06-27,2007,10,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-06-27,2007,10,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-06-28,2007,30,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-06-28,2007,50,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-06-28,2007,10,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-06-28,2007,10,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-06-28,2007,10,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-06-29,2007,30,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-06-29,2007,50,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-06-29,2007,60,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-06-29,2007,130,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-06-29,2007,210,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-06-30,2007,10,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-06-30,2007,10,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-06-30,2007,10,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-06-30,2007,10,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-06-30,2007,10,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-07-01,2007,10,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-07-01,2007,10,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-07-01,2007,10,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-07-01,2007,10,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-07-01,2007,10,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-07-02,2007,10,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-07-02,2007,10,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-07-02,2007,10,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-07-02,2007,10,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-07-02,2007,10,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-07-03,2007,10,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-07-03,2007,10,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-07-03,2007,10,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-07-03,2007,10,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-07-03,2007,10,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-07-04,2007,70,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-07-04,2007,180,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-07-04,2007,170,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-07-04,2007,390,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-07-04,2007,470,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-07-05,2007,20,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-07-05,2007,30,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-07-05,2007,10,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-07-05,2007,10,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-07-05,2007,10,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-07-06,2007,30,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-07-06,2007,10,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-07-06,2007,10,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-07-06,2007,10,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-07-06,2007,10,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-07-07,2007,10,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-07-07,2007,10,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-07-07,2007,10,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-07-07,2007,30,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-07-07,2007,20,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-07-09,2007,20,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-07-09,2007,50,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-07-09,2007,430,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-07-09,2007,20,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-07-09,2007,100,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-07-10,2007,410,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-07-10,2007,150,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-07-10,2007,120,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-07-10,2007,170,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-07-10,2007,250,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-07-11,2007,30,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-07-11,2007,50,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-07-11,2007,30,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-07-11,2007,40,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-07-11,2007,40,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-07-12,2007,10,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-07-12,2007,10,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-07-12,2007,10,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-07-12,2007,10,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-07-12,2007,10,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-07-13,2007,10,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-07-13,2007,10,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-07-13,2007,10,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-07-13,2007,10,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-07-13,2007,10,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-07-14,2007,80,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-07-14,2007,20,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-07-14,2007,40,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-07-14,2007,70,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-07-14,2007,50,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-07-15,2007,20,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-07-15,2007,10,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-07-15,2007,40,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-07-15,2007,70,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-07-15,2007,30,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-07-16,2007,30,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-07-16,2007,10,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-07-16,2007,10,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-07-16,2007,10,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-07-16,2007,10,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-07-17,2007,250,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-07-17,2007,20,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-07-17,2007,40,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-07-17,2007,50,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-07-17,2007,10,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-07-18,2007,20,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-07-18,2007,10,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-07-18,2007,10,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-07-18,2007,10,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-07-18,2007,10,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-07-19,2007,990,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-07-19,2007,990,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-07-19,2007,990,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-07-19,2007,990,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-07-19,2007,990,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-07-20,2007,550,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-07-20,2007,400,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-07-20,2007,500,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-07-20,2007,780,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-07-20,2007,550,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-07-21,2007,190,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-07-21,2007,150,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-07-21,2007,100,-79.22575,43.71361
