beachName,year,days,daysOverLimit,share
Ward's Island Beach,2022,105,5,0.047619047619047616
Ward's Island Beach,2023,105,10,0.09523809523809523
Ward's Island Beach,2024,102,9,0.08823529411764706
Ward's Island Beach,2025,104,7,0.0673076923076923
Ward's Island Beach,2026,110,18,0.16363636363636364
Woodbine Beaches,2007,90,10,0.1111111111111111
Woodbine Beaches,2008,87,5,0.05747126436781609
Woodbine Beaches,2009,71,14,0.19718309859154928
Woodbine Beaches,2010,100,15,0.15
Woodbine Beaches,2011,100,1,0.01
Woodbine Beaches,2012,104,8,0.07692307692307693
Woodbine Beaches,2013,105,10,0.09523809523809523
Woodbine Beaches,2014,105,6,0.05714285714285714
Woodbine Beaches,2015,111,5,0.04504504504504504
Woodbine Beaches,2016,105,5,0.047619047619047616
Woodbine Beaches,2017,103,7,0.06796116504854369
Woodbine Beaches,2018,105,11,0.10476190476190476
Woodbine Beaches,2019,105,9,0.08571428571428572
Woodbine Beaches,2020,81,10,0.12345679012345678
Woodbine Beaches,2021,105,14,0.13333333333333333
Woodbine Beaches,2022,105,4,0.0380952380952381
Woodbine Beaches,2023,105,9,0.08571428571428572
Woodbine Beaches,2024,104,15,0.14423076923076922
Woodbine Beaches,2025,104,9,0.08653846153846154
Woodbine Beaches,2026,110,10,0.09090909090909091
